
---------- Begin Simulation Statistics ----------
simSeconds                                   0.305733                       # Number of seconds simulated (Second)
simTicks                                 305733315500                       # Number of ticks simulated (Tick)
finalTick                                305733315500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7360.55                       # Real time elapsed on the host (Second)
hostTickRate                                 41536735                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649152                       # Number of bytes of host memory used (Byte)
simInsts                                    735703330                       # Number of instructions simulated (Count)
simOps                                      830131201                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99952                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112781                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        611466632                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1724510042                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1344754497                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11900778                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            894379014                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2184000635                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           611412780                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.199422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.436264                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 237604871     38.86%     38.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  87858461     14.37%     53.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51784494      8.47%     61.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  49627042      8.12%     69.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  57890027      9.47%     79.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  54428755      8.90%     88.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  30660272      5.01%     93.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  26080819      4.27%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8583495      1.40%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4296437      0.70%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  1840077      0.30%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   629694      0.10%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   118115      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     9423      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                      472      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      326      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::23                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::24                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                15                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             611412780                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1801532      2.01%      2.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     25      0.00%      2.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 11286      0.01%      2.02% # attempts to use FU when none available (Count)
