
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118808                       # Number of seconds simulated (Second)
simTicks                                 118808427500                       # Number of ticks simulated (Tick)
finalTick                                118808427500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2968.49                       # Real time elapsed on the host (Second)
hostTickRate                                 40023220                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649072                       # Number of bytes of host memory used (Byte)
simInsts                                    701649707                       # Number of instructions simulated (Count)
simOps                                      769676021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   236366                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259282                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        237616856                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       806362066                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      175                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      787274637                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2363805                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             36686219                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          96317585                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  90                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           237559701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.314008                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.450750                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30121476     12.68%     12.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34914992     14.70%     27.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  33255911     14.00%     41.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  34705454     14.61%     55.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  40626372     17.10%     73.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  18133519      7.63%     80.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20152796      8.48%     89.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11659326      4.91%     94.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6677740      2.81%     96.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2784570      1.17%     98.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2996527      1.26%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  1098902      0.46%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   136012      0.06%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   287547      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     8542      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                        9      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
