Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 24.0.0.1
gem5 compiled Jun  1 2025 19:26:57
gem5 started Jun  1 2025 19:28:20
gem5 executing on spectral, pid 4094447
command line: /work/johan/PND-Loads/gem5/build/ARM/gem5.fast --outdir=/work/johan/results/train/debug/m4/xalancbmk.0/raw/ /work/johan/PND-Loads/gem5/configs/deprecated/example/se.py --cpu-type=NonCachingSimpleCPU --restore-simpoint-checkpoint -r 9 --checkpoint-dir /mnt/data/checkpoints/623.xalancbmk_s/checkpoints.0 --restore-with-cpu=NonCachingSimpleCPU --mem-size=50GB -c /work/johan/spec2017/benchspec/CPU/623.xalancbmk_s/run/run_peak_refspeed_withPGObinary-64.0000/../run_peak_refspeed_withPGObinary-64.0000/xalancbmk_s_peak.withPGObinary-64 '--options=-v t5.xml xalanc.xsl'

Resuming from /mnt/data/checkpoints/623.xalancbmk_s/checkpoints.0/cpt.simpoint_08_inst_413490000000_weight_0.023141_interval_100000000_warmup_10000000
Resuming from SimPoint #8, start_inst:413490000000, weight:0.023141, interval:100000000, warmup:10000000
Switch at curTick count:10000
Switched CPUS @ tick 238163203043000
switching cpus
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275656 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275656 4
S 6097540 372275416 4
S 6097576 372275416 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275736 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275736 4
S 6097540 372275816 4
S 6097576 372275816 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275416 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372275416 4
S 6097540 372529000 4
S 6097576 372529000 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372528920 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372528920 4
S 6097540 372529080 4
S 6097576 372529080 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529000 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529000 4
S 6097540 372529240 4
S 6097576 372529240 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529080 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529080 4
S 6097540 372529160 4
S 6097576 372529160 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529240 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372529240 4
S 6097540 372776904 4
S 6097576 372776904 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855048 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855048 4
S 6097540 372854888 4
S 6097576 372854888 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372776904 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372776904 4
S 6097540 372855368 4
S 6097576 372855368 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372854888 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372854888 4
S 6097540 372855288 4
S 6097576 372855288 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855368 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855368 4
S 6097540 372855128 4
S 6097576 372855128 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855288 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 372855288 4
S 6097540 373113576 4
S 6097576 373113576 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 373113336 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 373113336 4
S 6097540 373113416 4
S 6097576 373113416 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 373113576 4
S 6096976 369088856 4
L 6040908 5857872 8
S 6097012 369088824 4
S 6097084 369088824 4
L 6040908 5857872 8
S 6097576 373113576 4
S 6097540 373113016 4
S 6097576 373113016 4
L 6040908 5857872 8
L 6040908 5857872 8
S 6089816 369080344 4
L 6040908 5857872 8
S 6096976 369080344 4
