Top 100000000 metrics most correlated with CPI change:
-----------------------------------------------------
system.switch_cpus.numCycles   | Correlation: 1.0000 ↑
system.switch_cpus.branchPred.BTB.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.mem_ctrls.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.switch_cpus.power_state.pwrStateResidencyTicks::OFF | Correlation: 1.0000 ↑
system.switch_cpus.mmu.itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.switch_cpus.mmu.stage2_itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.l2.tags.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
simTicks                       | Correlation: 1.0000 ↑
system.switch_cpus.mmu.dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.switch_cpus.mmu.stage2_dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.l2.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.membus.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.switch_cpus.branchPred.btb.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.mem_ctrls.dram.power_state.pwrStateResidencyTicks::UNDEFINED | Correlation: 1.0000 ↑
system.switch_cpus.cpi         | Correlation: 1.0000 ↑
system.switch_cpus.commitStats0.cpi | Correlation: 1.0000 ↑
simSeconds                     | Correlation: 1.0000 ↑
system.mem_ctrls.dram.rank1.pwrStateTime::REF | Correlation: 1.0000 ↑
system.mem_ctrls.dram.rank0.pwrStateTime::REF | Correlation: 1.0000 ↑
system.mem_ctrls.dram.rank0.refreshEnergy | Correlation: 1.0000 ↑
system.mem_ctrls.dram.rank1.refreshEnergy | Correlation: 1.0000 ↑
system.switch_cpus.numIssuedDist::samples | Correlation: 1.0000 ↑
system.switch_cpus.fetch.nisnDist::samples | Correlation: 1.0000 ↑
system.switch_cpus.numIssuedDist::total | Correlation: 1.0000 ↑
system.switch_cpus.fetch.nisnDist::total | Correlation: 1.0000 ↑
system.mem_ctrls.totGap        | Correlation: 0.9994 ↑
system.mem_ctrls.dram.rank0.totalEnergy | Correlation: 0.9950 ↑
system.mem_ctrls.dram.rank1.totalEnergy | Correlation: 0.9945 ↑
system.switch_cpus.fetch.nisnDist::2 | Correlation: 0.9599 ↑
system.switch_cpus.numIssuedDist::0 | Correlation: 0.9495 ↑
system.switch_cpus.rob.reads   | Correlation: 0.9309 ↑
system.switch_cpus.commit.numCommittedDist::samples | Correlation: 0.9263 ↑
system.switch_cpus.commit.numCommittedDist::total | Correlation: 0.9263 ↑
system.switch_cpus.fetch.predictedBranches | Correlation: 0.9256 ↑
system.switch_cpus.branchPred.targetProvider_0::BTB | Correlation: 0.9224 ↑
system.switch_cpus.branchPred.btb.lookups::DirectUncond | Correlation: 0.9183 ↑
system.switch_cpus.branchPred.lookups_0::DirectUncond | Correlation: 0.9183 ↑
system.mem_ctrls.requestorWriteTotalLat::writebacks | Correlation: 0.9170 ↑
system.switch_cpus.executeStats0.numCCRegReads | Correlation: 0.9120 ↑
system.switch_cpus.iew.predictedNotTakenIncorrect | Correlation: 0.9116 ↑
system.switch_cpus.iew.consumerInst | Correlation: 0.9106 ↑
system.switch_cpus.branchPred.condPredictedTaken | Correlation: 0.9089 ↑
system.switch_cpus.decode.branchResolved | Correlation: 0.9081 ↑
system.switch_cpus.commit.numCommittedDist::0 | Correlation: 0.9071 ↑
system.switch_cpus.executeStats0.numCCRegWrites | Correlation: 0.9051 ↑
system.mem_ctrls.avgGap        | Correlation: 0.9048 ↑
system.switch_cpus.iew.branchMispredicts | Correlation: 0.9020 ↑
system.switch_cpus.branchPred.targetProvider_0::total | Correlation: 0.9009 ↑
system.switch_cpus.branchPred.BTBLookups | Correlation: 0.9009 ↑
system.switch_cpus.branchPred.lookups_0::total | Correlation: 0.9009 ↑
system.switch_cpus.branchPred.btb.lookups::total | Correlation: 0.9009 ↑
system.switch_cpus.fetchStats0.numBranches | Correlation: 0.9009 ↑
system.switch_cpus.branchPred.targetWrong_0::NoBranch | Correlation: 0.8978 ↑
system.switch_cpus.branchPred.btb.mispredict::total | Correlation: 0.8978 ↑
system.switch_cpus.branchPred.btb.updates::total | Correlation: 0.8978 ↑
system.switch_cpus.branchPred.BTBUpdates | Correlation: 0.8978 ↑
system.switch_cpus.iew.writebackCount | Correlation: 0.8977 ↑
system.switch_cpus.iew.instsToCommit | Correlation: 0.8947 ↑
system.switch_cpus.branchPred.btb.mispredict::DirectCond | Correlation: 0.8937 ↑
system.switch_cpus.branchPred.btb.updates::DirectCond | Correlation: 0.8937 ↑
system.switch_cpus.statIssuedInstType_0::MemWrite | Correlation: 0.8923 ↑
system.switch_cpus.branchPred.ras.squashes | Correlation: 0.8922 ↑
system.switch_cpus.branchPred.btb.lookups::DirectCond | Correlation: 0.8919 ↑
system.switch_cpus.branchPred.lookups_0::DirectCond | Correlation: 0.8919 ↑
system.switch_cpus.branchPred.condPredicted | Correlation: 0.8919 ↑
system.switch_cpus.intInstQueueReads | Correlation: 0.8912 ↑
system.switch_cpus.statIssuedInstType_0::IntAlu | Correlation: 0.8910 ↑
system.switch_cpus.executeStats0.numBranches | Correlation: 0.8851 ↑
system.switch_cpus.branchPred.ras.pushes | Correlation: 0.8848 ↑
system.switch_cpus.branchPred.ras.pops | Correlation: 0.8848 ↑
system.switch_cpus.iew.producerInst | Correlation: 0.8842 ↑
system.switch_cpus.executeStats0.numStoreInsts | Correlation: 0.8829 ↑
system.switch_cpus.branchPred.corrected_0::DirectCond | Correlation: 0.8801 ↑
system.switch_cpus.executeStats0.numMiscRegReads | Correlation: 0.8756 ↑
system.switch_cpus.branchPred.BTBHits | Correlation: 0.8732 ↑
system.switch_cpus.fetch.cycles | Correlation: 0.8725 ↑
system.switch_cpus.branchPred.targetProvider_0::RAS | Correlation: 0.8721 ↑
system.switch_cpus.branchPred.btb.misses::Return | Correlation: 0.8721 ↑
system.switch_cpus.branchPred.lookups_0::Return | Correlation: 0.8721 ↑
system.switch_cpus.branchPred.btb.lookups::Return | Correlation: 0.8721 ↑
system.l2.tags.ageTaskId_1024::4 | Correlation: 0.8632 ↑
system.switch_cpus.statIssuedInstType_0::total | Correlation: 0.8616 ↑
system.switch_cpus.instsIssued | Correlation: 0.8616 ↑
system.mem_ctrls.dram.rank1.actBackEnergy | Correlation: 0.8607 ↑
system.mem_ctrls.dram.rank0.actBackEnergy | Correlation: 0.8604 ↑
system.switch_cpus.branchPred.squashes_0::DirectUncond | Correlation: 0.8587 ↑
system.switch_cpus.executeStats0.numInsts | Correlation: 0.8574 ↑
system.switch_cpus.rename.lookups | Correlation: 0.8552 ↑
system.switch_cpus.branchPred.targetProvider_0::NoTarget | Correlation: 0.8524 ↑
system.switch_cpus.branchPred.squashes_0::Return | Correlation: 0.8523 ↑
system.switch_cpus.intInstQueueWakeupAccesses | Correlation: 0.8447 ↑
